ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl.y,gene,ENTREZID,description
ENSG00000211772.11,1054.370797948369,-1.411442753125736,0.1408596246641104,-10.020208107833737,1.24241063672856e-23,1.5873449981208916e-21,ENSG00000211772,TRBC2,NA,T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]
ENSG00000221829.10,1178.7383585021132,-1.1577756065605482,0.11586710320600208,-9.9922719609389,1.6476137825286268e-23,2.068330046067332e-21,NA,NA,NA,NA
ENSG00000219200.12,1851.6700282199893,-1.269442191699076,0.12727155286395497,-9.974280686714236,1.9752749026832383e-23,2.451157224065315e-21,ENSG00000219200,RNASEK,440400,ribonuclease K [Source:HGNC Symbol;Acc:HGNC:33911]
ENSG00000197345.13,1279.6419967094257,-1.0874542698079388,0.10937812022901998,-9.942155410341543,2.7285820810659634e-23,3.3666025311072163e-21,ENSG00000197345,MRPL21,219927,mitochondrial ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:14479]
ENSG00000154222.15,803.9009030513481,-1.2485081868105719,0.12613127917819028,-9.89848192252739,4.226415378378491e-23,5.001457182941077e-21,ENSG00000154222,CC2D1B,200014,coiled-coil and C2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29386]
ENSG00000160957.14,1703.1383208815269,-1.3017671057260143,0.13180070066260963,-9.876784411475523,5.2490278661890606e-23,6.12632484793266e-21,NA,NA,NA,NA
ENSG00000130520.11,3182.884694966625,-1.014142349683006,0.10270167655245882,-9.874642593249137,5.362377908854812e-23,6.191682556577172e-21,ENSG00000130520,LSM4,25804,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]"
ENSG00000213619.11,2272.2901414265675,-1.0606974187018425,0.10749110510790451,-9.867769222737692,5.742752745555315e-23,6.560715200107426e-21,ENSG00000213619,NDUFS3,4722,NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]
ENSG00000186166.9,632.0231348773146,-1.8377881594931746,0.18707100502453153,-9.824013931245927,8.873819040698974e-23,9.927642524703225e-21,ENSG00000186166,CENATAC,338657,centrosomal AT-AC splicing factor [Source:HGNC Symbol;Acc:HGNC:30460]
ENSG00000215030.5,1983.079059198392,-1.7283270327526807,0.17608218222694294,-9.815456685589755,9.659958756325349e-23,1.075143450858644e-20,ENSG00000215030,RPL13P12,NA,ribosomal protein L13 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35701]
ENSG00000135451.13,1283.7075000466327,-1.3664770534144113,0.1392590575601839,-9.812482414825032,9.949037939236206e-23,1.0960880793052979e-20,ENSG00000135451,TROAP,10024,trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]
ENSG00000146830.11,4629.9150753610165,-1.0567027377521665,0.10772058623568832,-9.80966382266193,1.0230882854740327e-22,1.1213463076119448e-20,ENSG00000146830,GIGYF1,64599,GRB10 interacting GYF protein 1 [Source:HGNC Symbol;Acc:HGNC:9126]
ENSG00000011009.11,1128.6324402862324,-1.1880151312609224,0.12176010614728697,-9.757014582623977,1.7214822623312e-22,1.8401111390225382e-20,ENSG00000011009,LYPLA2,11313,lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]
ENSG00000140365.16,1177.26975954099,-1.4364203854531603,0.1476607970602735,-9.727838492344244,2.2941590481858128e-22,2.428209910217062e-20,ENSG00000140365,COMMD4,54939,COMM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26027]
ENSG00000100836.10,1202.1100496148683,-1.1298776333845142,0.11619412523512207,-9.724051290012943,2.3811463531904574e-22,2.4958112649557455e-20,NA,NA,NA,NA
ENSG00000183011.13,450.27941695894714,-1.6128524260124963,0.16592761939796905,-9.72021675393384,2.4725459872196563e-22,2.566692930579174e-20,NA,NA,NA,NA
ENSG00000148362.11,1107.0337424560694,-1.5546204810645496,0.1608708094203347,-9.6637823024967,4.296995311228092e-22,4.295403831483193e-20,ENSG00000148362,PAXX,286257,PAXX non-homologous end joining factor [Source:HGNC Symbol;Acc:HGNC:27849]
ENSG00000137133.11,376.3872233106049,-1.6258884145861425,0.16851215716045628,-9.648493271841398,4.988324472672649e-22,4.940729450181093e-20,ENSG00000137133,HINT2,84681,histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]
ENSG00000124172.10,3442.4277268214387,-1.0433165663464838,0.10815083787775397,-9.646865311628698,5.068127451379631e-22,4.996849677177579e-20,ENSG00000124172,ATP5F1E,514,ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]
ENSG00000092841.19,5028.0778452659,-1.0442778957591763,0.10915936255131196,-9.566544466291639,1.1053851705826043e-21,1.0607767379208708e-19,ENSG00000092841,MYL6,4637,myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]
ENSG00000184209.15,687.7443408139115,-1.6957073912964544,0.17733837792783444,-9.561987715859793,1.1551640451912654e-21,1.0987798265977885e-19,ENSG00000184209,SNRNP35,11066,small nuclear ribonucleoprotein U11/U12 subunit 35 [Source:HGNC Symbol;Acc:HGNC:30852]
ENSG00000105254.12,1752.636235715835,-1.1452910732897736,0.11977236791152508,-9.562231199568428,1.1524489637783464e-21,1.0987798265977885e-19,ENSG00000105254,TBCB,1155,tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989]
ENSG00000184967.7,1075.4669067573711,-1.2071123817692293,0.12627525552295346,-9.559373899265708,1.1847122808099658e-21,1.1219433143530167e-19,ENSG00000184967,NOC4L,79050,nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]
ENSG00000117691.10,1014.8706140455976,-1.3462649401139288,0.1412342152946097,-9.532144440394042,1.5406723234236809e-21,1.4400950998858926e-19,ENSG00000117691,NENF,29937,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]
ENSG00000103202.13,4355.112104224529,-1.077093992951046,0.11306715380991274,-9.526144036152573,1.6323393013929664e-21,1.51268112427798e-19,ENSG00000103202,NME4,4833,NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]
ENSG00000169738.8,1668.711853010981,-1.280046904660388,0.1347537218614694,-9.499158071317037,2.1159408650898426e-21,1.9524527845734992e-19,ENSG00000169738,DCXR,51181,dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]
ENSG00000155115.7,2259.6644615348164,-1.09009879185067,0.11539181393189711,-9.446933492994862,3.4890232781469926e-21,3.0748975763979537e-19,ENSG00000155115,GTF3C6,112495,general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]
ENSG00000143793.13,901.6386948045268,-1.2222516172974436,0.12957831952135243,-9.432531783189518,4.0030769663375344e-21,3.485259591014518e-19,ENSG00000143793,C1orf35,79169,chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]
ENSG00000109390.13,1007.2388161600544,-1.09971222332774,0.11706574251530193,-9.393971282281784,5.777966334957812e-21,5.01035538571924e-19,ENSG00000109390,NDUFC1,4717,NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]
ENSG00000262814.8,2677.500952162767,-1.130829440895742,0.12055741571225627,-9.380007311991328,6.5968153459982784e-21,5.652318926618843e-19,ENSG00000262814,MRPL12,6182,mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]
ENSG00000224877.4,761.2447655096154,-1.2922667128703837,0.13777724098035096,-9.379391717204438,6.63544225415626e-21,5.662943444732884e-19,ENSG00000224877,NDUFAF8,284184,NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]
ENSG00000132432.14,2098.2315444638834,-1.2193867601652302,0.13002424645173158,-9.378149025596535,6.714100623371786e-21,5.707514199206441e-19,ENSG00000132432,SEC61G,23480,SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:HGNC:18277]
ENSG00000115307.17,6479.4538935305045,-1.0624160673088838,0.11348860617795908,-9.361433742898663,7.866191748538045e-21,6.634641102907557e-19,ENSG00000115307,AUP1,550,AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891]
ENSG00000111215.12,796.781941157218,-1.1805002694770468,0.12654578886823767,-9.328641277081218,1.072367420584887e-20,8.939983530991846e-19,ENSG00000111215,PRR4,5554,proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]
ENSG00000111215.12,796.781941157218,-1.1805002694770468,0.12654578886823767,-9.328641277081218,1.072367420584887e-20,8.939983530991846e-19,ENSG00000111215,PRR4,11272,proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]
ENSG00000198258.11,2043.5676776029027,-1.0293989266019983,0.11081409575008334,-9.289422249346146,1.5512807506240182e-20,1.2735838010446311e-18,ENSG00000198258,UBL5,59286,ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]
ENSG00000177971.8,947.377510393926,-1.2418403875934236,0.13381196111229918,-9.280488659389967,1.6870305222837912e-20,1.3797864786799854e-18,NA,NA,NA,NA
ENSG00000177600.9,41184.10808244032,-1.2154001461141408,0.1311704286575837,-9.265809058891657,1.936039120626153e-20,1.5715397252842066e-18,ENSG00000177600,RPLP2,6181,ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]
ENSG00000188186.10,1273.0746892226366,-1.5553777195439815,0.16797684811573768,-9.25947674927387,2.054364754300534e-20,1.6501776413088183e-18,NA,NA,NA,NA
ENSG00000183648.11,1041.6794169022564,-1.1647888300603844,0.1260896655271863,-9.237781900605036,2.5165983741935107e-20,2.01253304057727e-18,ENSG00000183648,NDUFB1,4707,NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695]
ENSG00000164611.13,1898.5867862670882,-1.1939324696090539,0.12955903423660137,-9.215354812144465,3.102505145623644e-20,2.4359742219747536e-18,ENSG00000164611,PTTG1,9232,"PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]"
ENSG00000178999.13,484.6123770450694,-1.4265960916622988,0.1551683227506034,-9.19386164890895,3.7898595673367495e-20,2.954175010033758e-18,ENSG00000178999,AURKB,9212,aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]
ENSG00000182196.13,2242.0808681304097,-1.01472114590146,0.110483587514379,-9.184360942021348,4.1397805292719955e-20,3.2038043436573813e-18,NA,NA,NA,NA
ENSG00000178028.14,704.8008315334878,-1.163845318026344,0.12769612385994353,-9.114178902586296,7.926842731302384e-20,5.9429301477180935e-18,ENSG00000178028,DMAP1,55929,DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]
